complaint_id,victim_lat,victim_lon,fraud_type,bank,amount_inr,complaint_text,incident_time,complaint_time,mule_chain,noise_nodes,withdrawal_atm_id,withdrawal_atm_name,withdrawal_lat,withdrawal_lon,withdrawal_time,victim_to_withdrawal_km
CMP00001,12.991828,77.506253,UPI QR Scam,Axis Bank,36600.0,"A buyer on an e-commerce platform sent me a QR code saying I needed to scan it to get paid. When I scanned it, ₹5,500 was debited from my Axis Bank account instead.",2026-08-11T21:40:09.524154,2026-08-12T04:47:50.509932,"[""MULE-EC930103"", ""MULE-MQ116155"", ""MULE-RD387262"", ""MULE-QY602606""]",[],622010323,Syndicate Bank,13.0085354,77.5694521,2026-08-12T07:58:26.794791,7.09
CMP00002,12.866132,77.647316,OTP Phishing,ICICI Bank,176400.0,"I got a call from a number that appeared to be ICICI Bank. They said there was suspicious activity on my card and asked for the OTP to block it. Instead, ₹12,000 was stolen.",2026-08-14T21:38:59.087875,2026-08-15T14:18:41.926200,"[""MULE-WU489638"", ""MULE-FU430391"", ""MULE-TP389083""]",[],12046469618,Unknown ATM,12.9727903,77.7014429,2026-08-15T10:10:47.588247,13.23
CMP00003,12.91356,77.63801,Investment Fraud,Punjab National Bank,14300.0,"A person on LinkedIn convinced me to invest in a 'low-risk' forex scheme. The platform initially let me withdraw small amounts, but after a large deposit, it became unreachable.",2026-08-17T21:38:13.437315,2026-08-18T07:16:14.786249,"[""MULE-OR688937"", ""MULE-UK670656"", ""MULE-LK729806""]",[],7292436108,South Indian Bank,12.9713364,77.5867555,2026-08-18T06:33:30.175817,8.49
CMP00004,12.848796,77.588818,Investment Fraud,Bank of Baroda,29100.0,I invested in a trading scheme promoted on social media that promised high returns. The platform is no longer accessible and I've lost my money.,2026-08-09T04:31:37.369719,2026-08-10T09:57:38.771688,"[""MULE-WR848018"", ""MULE-QY162720""]",[],3761418961,HDFC Bank,12.9600667,77.6450929,2026-08-09T17:42:53.533327,13.79
CMP00005,13.052856,77.694,Fake Loan App,SBI,25000.0,"I found a loan app on social media offering low-interest personal loans. After paying the required 'stamp duty fee', the app vanished from my phone and I couldn't reach anyone.",2026-07-30T02:51:40.112713,2026-07-30T22:24:59.291294,"[""MULE-QF755646"", ""MULE-QT998543"", ""MULE-ZA299737"", ""MULE-DO413164""]",[],8916964740,ICICI Bank,13.0042947,77.6229746,2026-07-30T11:38:27.829821,9.4
CMP00006,12.975376,77.724456,Job Fraud,Punjab National Bank,19400.0,"A company contacted me on WhatsApp offering a data-entry job. They asked for a 'training fee' of ₹3,000 upfront. After I paid, the number became unreachable.",2026-08-03T09:47:17.319464,2026-08-05T09:39:40.027500,"[""MULE-WB805310"", ""MULE-DY192832""]",[],11532959814,Unknown ATM,12.9232383,77.6498021,2026-08-03T21:35:53.079291,9.95
CMP00007,12.914486,77.74903,KYC Update Scam,Bank of Baroda,4700.0,"A fraudster sent me a message from a Bank of Baroda-looking number about KYC renewal. I followed the link and filled in my details. Soon after, transactions appeared that I never made.",2026-08-17T18:53:15.611200,2026-08-19T12:16:28.940282,"[""MULE-EQ309232"", ""MULE-KM193745"", ""MULE-BT912419"", ""MULE-AU514627""]",[],5125738299,Bank of India,12.9762768,77.7286128,2026-08-18T01:22:11.541718,7.22
CMP00008,13.062756,77.565847,KYC Update Scam,ICICI Bank,29700.0,"A fraudster sent me a message from a ICICI Bank-looking number about KYC renewal. I followed the link and filled in my details. Soon after, transactions appeared that I never made.",2026-08-06T13:44:27.120045,2026-08-08T09:35:26.480573,"[""MULE-TU564139"", ""MULE-DF534874"", ""MULE-OQ640052"", ""MULE-GS663193""]",[],12441556290,Unknown ATM,12.9874735,77.5801145,2026-08-08T08:18:09.527804,8.51
CMP00009,12.83356,77.590745,UPI QR Scam,Axis Bank,7400.0,"Someone posing as a buyer on an online marketplace asked me to scan a QR code to 'receive' payment. Instead, money was deducted from my Axis Bank account.",2026-08-12T11:21:12.453794,2026-08-12T23:17:41.496102,"[""MULE-WV265423"", ""MULE-BQ919058"", ""MULE-DO413164"", ""MULE-AD311656""]",[],5824798394,Unknown ATM,12.8876505,77.5507441,2026-08-13T17:10:56.823680,7.41
CMP00010,12.981978,77.741091,KYC Update Scam,Axis Bank,28600.0,"I received a message from someone claiming to be Axis Bank saying my KYC was outdated. The link took me to a fake portal where I entered my Aadhaar and PAN. Later, ₹9,800 was missing.",2026-07-31T09:58:41.711157,2026-08-01T05:25:49.394457,"[""MULE-HJ328710"", ""MULE-XZ095701"", ""MULE-QY602606"", ""MULE-ZX884969""]","[""NOISE-DI870831""]",11212375968,Unknown ATM,12.9702298,77.6439459,2026-08-01T20:11:20.779454,10.61
CMP00011,13.071626,77.714909,OTP Phishing,Axis Bank,15000.0,"Someone fraudulently called me posing as Axis Bank support and convinced me to reveal my OTP. Right after that, money was deducted from my account without my knowledge.",2026-08-04T11:27:32.366843,2026-08-05T19:44:07.566932,"[""MULE-HJ328710"", ""MULE-XO506716"", ""MULE-NZ726284"", ""MULE-JS078161""]",[],3837051274,Axis Bank,12.9782679,77.6330409,2026-08-05T02:27:24.972117,13.65
CMP00012,13.059151,77.513543,Investment Fraud,HDFC Bank,13900.0,I invested in a trading scheme promoted on social media that promised high returns. The platform is no longer accessible and I've lost my money.,2026-08-16T21:17:30.966692,2026-08-17T16:54:59.205931,"[""MULE-EN013267"", ""MULE-EC930103""]",[],2214747036,Unknown ATM,13.0232887,77.6005444,2026-08-17T17:32:33.520628,10.23
CMP00013,12.822615,77.702006,KYC Update Scam,HDFC Bank,21400.0,"I got a message saying my HDFC Bank KYC would expire unless I updated it via a link. After entering my details, money was withdrawn from my account.",2026-08-12T12:54:32.639363,2026-08-13T20:23:09.416237,"[""MULE-FR769453"", ""MULE-VB737996""]",[],2181320621,Unknown ATM,12.8822735,77.572507,2026-08-13T17:36:49.535604,15.53
CMP00014,12.920312,77.514659,Job Fraud,SBI,21500.0,"Someone offered me a part-time job posting ads online. They said I needed to pay a 'security deposit' before starting. After transferring the money, they blocked me.",2026-08-04T03:04:04.457372,2026-08-04T16:09:54.180319,"[""MULE-VR527354"", ""MULE-FP948083"", ""MULE-CY678377""]",[],6000091924,Unknown ATM,12.9460972,77.5304519,2026-08-05T17:59:55.932387,3.34
CMP00015,12.86531,77.514621,Investment Fraud,SBI,8400.0,"I was added to a WhatsApp group that promoted a guaranteed-return investment plan. After investing ₹20,000 the group admin blocked me and the website shut down.",2026-07-20T19:34:56.528231,2026-07-20T22:47:51.789898,"[""MULE-RD387262"", ""MULE-CZ483503"", ""MULE-WV265423"", ""MULE-XE436349""]",[],4619897393,Unknown ATM,12.9582106,77.5348921,2026-07-22T02:07:04.180513,10.56
